location_id,location_tag_id
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
737,1
8,4
71,4
80,4
114,4
126,4
127,4
142,4
143,4
196,4
199,4
219,4
223,4
265,4
274,4
293,4
312,4
349,4
352,4
384,4
387,4
414,4
419,4
429,4
463,4
511,4
526,4
531,4
545,4
577,4
677,4
696,4
701,4
703,4
712,4
720,4
736,4
196,5
293,5
419,5
696,5
701,5
703,5
712,5
736,5
738,8
739,8
740,8
741,8
742,8
743,8
744,8
745,8
746,8
747,8
748,8
749,8
750,8
751,8
752,8
753,8
754,8
755,8
738,9
739,9
740,9
741,9
742,9
743,9
744,9
745,9
746,9
747,9
748,9
749,9
750,9
751,9
752,9
753,9
754,9
755,9
738,10
739,10
740,10
741,10
742,10
743,10
744,10
745,10
746,10
747,10
750,11
751,11
752,11
753,11
754,11
755,11
